id,title,description,link,image_link,price,availability,condition,brand,google_product_category
69fc3942b333bfbdf04e3a81,"LEAD /  BASS AMP - CUBE","",https://honemusics.com/products/cube-prod-57,https://res.cloudinary.com/dglvpzqcl/image/upload/v1778137408/hone_store/telegram_products/rmtdalmbuy9ngkucuswg.jpg,"55000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69fb0e02b333bfbdf04e36f5,"STUDIO SPEAKER / MONITOR - KRK ROKIT5","Generation 4 ( latest version )
5 inch",https://honemusics.com/products/krk-rokit5-prod-56,https://res.cloudinary.com/dglvpzqcl/image/upload/v1778060801/hone_store/telegram_products/bkjhn2qpfpajjtxz0e83.jpg,"130000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69fad357b333bfbdf04e324d,"KEYBOARD For practice - Noman","200 voices, 200 rhythms, transpose, Best for practice",https://honemusics.com/products/noman-prod-55,https://res.cloudinary.com/dglvpzqcl/image/upload/v1778045782/hone_store/telegram_products/awuhih5yui8bzl6lzavl.jpg,"35000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f9876a9e77b9b04af9c526,"MIDI KEYBOARD - M audio keystation","",https://honemusics.com/products/m-audio-keystation-prod-54,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777960809/hone_store/telegram_products/ebl1rqa75ulxa5czzof2.jpg,"40000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f9871e9e77b9b04af9c51d,"All types of keyboard rubber available - All types of keyboard rubber available","PSR 975,970,950,650….
Midi keyboard  keystation, carbon….
አድራሻ :
#1 መገናኛ አደባባይ
ቤተለሔም ፕላዛ 1ኛ ፎቅ
#2 ጎሮ አደባባይ
ጓርየ የገበያ ማዕከል 2ኛ ፎቅ",https://honemusics.com/products/all-types-of-keyboard-rubber-available-prod-53,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777960733/hone_store/telegram_products/kxpyvski6rqgpy7gubfw.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f983359e77b9b04af9c514,"KEYBOARD - Casio CT5300","Features 61 full-size, touch-sensitive keys for dynamic control.
Includes 400 tones, 77 rhythms, and a Dance Music Mode.
Support midi",https://honemusics.com/products/casio-ct5300-prod-52,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777959732/hone_store/telegram_products/krn6clsposmuksm8licb.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f84a114e8da725d02bf835,"MIXER - Yamaha","4 channels",https://honemusics.com/products/yamaha-prod-51,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777879568/hone_store/telegram_products/utrkmsbee1jjbcyywq3z.jpg,"30000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f82b0073d3bba69aa0de1a,"STUDIO MIC - rode nt-1","signature series

With full accessories
",https://honemusics.com/products/rode-nt-1-prod-50,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777871616/hone_store/telegram_products/rdp1hlrstlget1uvol8g.jpg,"65000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f36cc4eeb0ace47100732b,"STUDIO MIC - Audio technica 2035","",https://honemusics.com/products/audio-technica-2035-prod-49,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777560771/hone_store/telegram_products/wqfxioas3vwmyymrzbib.jpg,"40000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f31421eeb0ace471006cc5,"Wall mount speaker - ahuja","",https://honemusics.com/products/ahuja-prod-48,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777538080/hone_store/telegram_products/i5ar4uihqvllfyalcxxm.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69f2f5e9eeb0ace471006abb,"LEAD GUITAR - Lead guitar","",https://honemusics.com/products/lead-guitar-prod-47,https://res.cloudinary.com/dglvpzqcl/image/upload/v1777530343/hone_store/telegram_products/wljkdeypasl1pnckakrg.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e691f1218c9fa559741e6f,"KEYBOARD - Noman","Best for practice",https://honemusics.com/products/noman-prod-46,https://res.cloudinary.com/dglvpzqcl/image/upload/v1776718319/hone_store/telegram_products/zoiu8xff1murvmed71s3.jpg,"35000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e6900c218c9fa559741e35,"KEYBOARD - Yamaha PSR SX920","",https://honemusics.com/products/yamaha-psr-sx920-prod-45,https://res.cloudinary.com/dglvpzqcl/image/upload/v1776717834/hone_store/telegram_products/wmgyugnymmfnjyccb5gg.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e6813fe05dd6b22a186438,"BASS GUITAR - Ibanez","",https://honemusics.com/products/ibanez-prod-44,https://res.cloudinary.com/dglvpzqcl/image/upload/v1776714045/hone_store/telegram_products/pyypwvp1gxjavhefsavh.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e67388d24f36903784728a,"SPEAKER - max","",https://honemusics.com/products/max-prod-43,https://res.cloudinary.com/dglvpzqcl/image/upload/v1776710535/hone_store/telegram_products/r4birjvjp4mkzhda8vje.jpg,"55000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
